id,path,title,ignore,synonyms
235,Distributed_artificial_intelligence,Distributed artificial intelligence,true,
236,Distributed_computing,Distributed computing,true,
237,Domain-specific_language,Domain-specific language,true,
238,Donald_O._Hebb,Donald O. Hebb,true,
239,Dynamic_Bayesian_network,Dynamic Bayesian network,true,
240,Dynamic_programming,Dynamic programming,true,
241,ECML_PKDD,ECML PKDD,true,
242,ELKI,ELKI,true,
243,Echo_state_network,Echo state network,true,
244,Edge_device,Edge device,true,
245,Ehud_Shapiro,Ehud Shapiro,true,
246,Electrocardiography,Electrocardiography,true,
247,Electrochemical_RAM,Electrochemical RAM,true,
248,Electronic_design_automation,Electronic design automation,true,
249,EleutherAI,EleutherAI,true,
250,Email_filtering,Email filtering,true,
251,Embedded_system,Embedded system,true,
252,Embedded_systems,Embedded systems,true,
253,Empirical_risk_minimization,Empirical risk minimization,true,
254,Ensemble_Averaging,Ensemble Averaging,true,
255,Ensemble_learning,Ensemble learning,true,
256,Ensemble_methods,Ensemble methods,true,
257,Entailment,Entailment,true,
258,Enterprise_information_system,Enterprise information system,true,
259,Errors_and_residuals,Errors and residuals,true,
260,European_Conference_on_Machine_Learning_and_Principles_and_Practice_of_Knowledge_Discovery_in_Databases,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,true,
261,Evolutionary_algorithm,Evolutionary algorithm,true,
262,Existential_risk_from_artificial_general_intelligence,Existential risk from artificial general intelligence,true,
263,Expectation–maximization_algorithm,Expectation–maximization algorithm,true,
264,Expert_system,Expert system,true,
265,Exploratory_data_analysis,Exploratory data analysis,true,
266,Facial_recognition_system,Facial recognition system,true,
267,Factor_analysis,Factor analysis,true,
268,Fairness_(machine_learning),Fairness (machine learning),true,
269,False_negative_rate,False negative rate,true,
270,False_positive_rate,False positive rate,true,
271,Feature_(machine_learning),Feature (machine learning),true,
272,Feature_engineering,Feature engineering,true,
273,Feature_extraction,Feature extraction,true,
274,Feature_space_vector,Feature space vector,true,
275,Feature_vector,Feature vector,true,
276,Feedforward_neural_network,Feedforward neural network,true,
277,Fei-Fei_Li,Fei-Fei Li,true,
278,Field_of_study,Field of study,true,
279,Financial_market,Financial market,true,
280,Flux_(machine-learning_framework),Flux (machine-learning framework),true,
281,Force_control,Force control,true,
282,Form_factor_(design),Form factor (design),true,
283,Formal_language,Formal language,true,
284,Formal_methods,Formal methods,true,
285,Free_Lossless_Audio_Codec,Free Lossless Audio Codec,true,
286,Friendly_artificial_intelligence,Friendly artificial intelligence,true,
287,Functional_programming,Functional programming,true,
288,Fuzzy_clustering,Fuzzy clustering,true,
289,Fuzzy_logic,Fuzzy logic,true,
290,GPT-1,GPT-1,true,
291,GPT-2,GPT-2,true,
292,GPT-3,GPT-3,true,
293,GPT-4,GPT-4,true,
294,GPT-J,GPT-J,true,
295,GPU,GPU,true,
296,Game_theory,Game theory,true,
297,Gated_recurrent_unit,Gated recurrent unit,true,
298,Gboard,Gboard,true,
299,Gemini_(language_model),Gemini (language model),true,
300,General_game_playing,General game playing,true,
301,Generalization_(learning),Generalization (learning),true,
302,Generalize,Generalize,true,
303,Generalized_linear_model,Generalized linear model,true,
304,Generative_adversarial_network,Generative adversarial network,true,
305,Generative_artificial_intelligence,Generative artificial intelligence,true,
306,Generative_audio,Generative audio,true,
307,Generative_model,Generative model,true,
308,Geoff_Hinton,Geoff Hinton,true,
309,Geoffrey_Hinton,Geoffrey Hinton,true,
310,Geographic_information_system,Geographic information system,true,
311,Geolitica,Geolitica,true,
312,Glossary_of_artificial_intelligence,Glossary of artificial intelligence,true,
313,Goof,Goof,true,
314,Google,Google,true,
315,Google_APIs,Google APIs,true,
316,Google_Cloud_Platform,Google Cloud Platform,true,
317,Google_DeepMind,Google DeepMind,true,
318,Google_JAX,Google JAX,true,
319,Gordon_Plotkin,Gordon Plotkin,true,
320,Gradient_descent,Gradient descent,true,
321,Grammar_induction,Grammar induction,true,
322,Graph_neural_network,Graph neural network,true,
323,Graphcore,Graphcore,true,
324,Graphical_model,Graphical model,true,
325,Green_computing,Green computing,true,
326,Hallucination_(artificial_intelligence),Hallucination (artificial intelligence),true,
327,Handwriting_recognition,Handwriting recognition,true,
328,Haplotype,Haplotype,true,
329,Hardware_acceleration,Hardware acceleration,true,
330,Hardware_security,Hardware security,true,
331,Hebbian_theory,Hebbian theory,true,
332,Heuristic,Heuristic,true,
333,Heuristic_(computer_science),Heuristic (computer science),true,
334,Hidden_Markov_model,Hidden Markov model,true,
335,Hierarchical_clustering,Hierarchical clustering,true,
336,History_of_artificial_intelligence,History of artificial intelligence,true,
337,Huawei,Huawei,true,
338,Huawei_PanGu,Huawei PanGu,true,
339,Hugging_Face,Hugging Face,true,
340,Human-in-the-loop,Human-in-the-loop,true,
341,Human_brain,Human brain,true,
342,Human_image_synthesis,Human image synthesis,true,
343,Human–computer_interaction,Human–computer interaction,true,
344,Hutter_Prize,Hutter Prize,true,
345,Hybrid_intelligent_system,Hybrid intelligent system,true,
346,Hyperparameter_optimization,Hyperparameter optimization,true,
347,IBM,IBM,true,
348,IBM_Granite,IBM Granite,true,
349,IBM_Watson,IBM Watson,true,
350,IBM_Watson_Studio,IBM Watson Studio,true,
351,IBM_Watsonx,IBM Watsonx,true,
352,IEEE_Transactions_on_Pattern_Analysis_and_Machine_Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,true,
353,ISBN_(identifier),ISBN (identifier),true,
354,Ian_Goodfellow,Ian Goodfellow,true,
355,Ilya_Sutskever,Ilya Sutskever,true,
356,Image_compression,Image compression,true,
357,Image_de-noising,Image de-noising,true,
358,Image_processing,Image processing,true,
359,Imprecise_probability,Imprecise probability,true,
360,Indel,Indel,true,
361,Independent_component_analysis,Independent component analysis,true,
362,Inductive_bias,Inductive bias,true,
363,Inductive_programming,Inductive programming,true,
364,Inductive_reasoning,Inductive reasoning,true,
365,Infer.NET,Infer.NET,true,
366,Influence_diagram,Influence diagram,true,
367,Information_geometry,Information geometry,true,
368,Information_retrieval,Information retrieval,true,
369,Information_security,Information security,true,
370,Information_system,Information system,true,
371,Information_theory,Information theory,true,
372,Insurance,Insurance,true,
373,Integrated_circuit,Integrated circuit,true,
374,Integrated_development_environment,Integrated development environment,true,
375,Intelligent_Agent,Intelligent Agent,true,
376,Interaction_design,Interaction design,true,
377,International_Conference_on_Computational_Intelligence_Methods_for_Bioinformatics_and_Biostatistics,International Conference on Computational Intelligence Methods for Bioinformatics and Biostatistics,true,
378,International_Conference_on_Intelligent_Robots_and_Systems,International Conference on Intelligent Robots and Systems,true,
379,International_Conference_on_Learning_Representations,International Conference on Learning Representations,true,
380,International_Conference_on_Machine_Learning,International Conference on Machine Learning,true,
381,International_Joint_Conference_on_Artificial_Intelligence,International Joint Conference on Artificial Intelligence,true,
382,Internet_fraud,Internet fraud,true,
383,Interpreter_(computing),Interpreter (computing),true,
384,Intrusion_detection,Intrusion detection,true,
385,Intrusion_detection_system,Intrusion detection system,true,
386,Investigative_journalism,Investigative journalism,true,
387,Isolation_forest,Isolation forest,true,
388,Jerome_H._Friedman,Jerome H. Friedman,true,
389,John_Hopfield,John Hopfield,true,
390,Journal_of_Machine_Learning_Research,Journal of Machine Learning Research,true,
391,Jürgen_Schmidhuber,Jürgen Schmidhuber,true,
392,K-SVD,K-SVD,true,
393,K-means_clustering,K-means clustering,true,
394,K-nearest_neighbors_algorithm,K-nearest neighbors algorithm,true,
395,KNIME,KNIME,true,
396,KXEN_Inc.,KXEN Inc.,true,
397,Keras,Keras,true,
398,Kernel_machines,Kernel machines,true,
399,Kernel_regression,Kernel regression,false,
400,Kernel_trick,Kernel trick,true,
401,Knowledge_discovery,Knowledge discovery,true,
402,Knowledge_distillation,Knowledge distillation,true,
403,Knowledge_graph_embedding,Knowledge graph embedding,true,
404,Knowledge_representation_and_reasoning,Knowledge representation and reasoning,true,
405,Kubeflow,Kubeflow,true,
406,LIONsolver,LIONsolver,true,
407,LLaMA,LLaMA,true,
408,LaMDA,LaMDA,true,
409,Language_model,Language model,true,
410,Large_language_model,Large language model,true,
411,Leaf_node,Leaf node,true,
412,Learning_classifier_system,Learning classifier system,true,
413,Learning_curve_(machine_learning),Learning curve (machine learning),true,
414,Learning_to_rank,Learning to rank,true,
415,Leo_Breiman,Leo Breiman,true,
416,Library_(computing),Library (computing),true,
417,LightGBM,LightGBM,true,
418,Linear_classifier,Linear classifier,true,
419,Linear_discriminant_analysis,Linear discriminant analysis,true,
420,Linear_regression,Linear regression,false,
421,List_of_artificial_intelligence_projects,List of artificial intelligence projects,true,
422,List_of_computer_size_categories,List of computer size categories,true,
423,List_of_datasets_in_computer_vision_and_image_processing,List of datasets in computer vision and image processing,true,
424,Local_outlier_factor,Local outlier factor,true,
425,Logic_in_computer_science,Logic in computer science,true,
426,Logic_programming,Logic programming,true,
427,Logical_conjunction,Logical conjunction,true,
428,Logistic_regression,Logistic regression,false,
429,Long_short-term_memory,Long short-term memory,true,
430,Loss_function,Loss function,true,
431,Loss_functions_for_classification,Loss functions for classification,true,
432,MATLAB,MATLAB,true,
433,MIT_Computer_Science_and_Artificial_Intelligence_Laboratory,MIT Computer Science and Artificial Intelligence Laboratory,true,
434,ML.NET,ML.NET,true,
435,MOA_(Massive_Online_Analysis),MOA (Massive Online Analysis),true,
436,MXNet,MXNet,true,
437,Machine_code,Machine code,true,
438,Machine_ethics,Machine ethics,true,
439,Machine_learning_control,Machine learning control,true,
440,Machine_learning_in_bioinformatics,Machine learning in bioinformatics,true,
441,Machine_learning_in_earth_sciences,Machine learning in earth sciences,true,
